ID,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39,Item40,Item41,Item42,Item43,Item44,Item45,Item46,Item47,Item48,Item49,Item50,Item51,Item52,Item53,Item54,Item55,Item56,Item57,Item58,Item59,Item60,Item61,Item62,Item63,Item64,Item65,Item66,Item67,Item68,Item69,Item70,Item71,Item72,Item73,Item74,Item75,Item76,Item77,Item78,Item79,Item80,Item81,Item82,Item83,Item84,Item85,Item86,Item87,Item88,Item89,Item90,Item91,Item92
1001,C,E,D,B,E,D,B,D,C,A,E,C,B,C,E,B,C,B,C,D,B,C,D,E,D,B,D,B,B,D,B,A,B,C,D,D,B,E,C,D,B,A,C,D,C,C,D,C,E,C,C,B,B,B,A,D,D,A,A,D,A,D,C,C,B,E,B,D,D,A,E,E,B,D,B,C,D,D,B,A,D,B,B,C,C,A,D,A,B,A,A,B
1002,C,E,D,B,C,D,E,D,A,E,E,B,B,C,D,B,D,D,C,D,A,A,D,C,E,B,A,C,B,E,D,B,E,E,A,A,D,E,C,B,D,A,C,D,A,A,E,D,B,B,D,D,B,E,A,C,B,D,D,A,B,B,B,B,A,E,D,A,E,C,E,B,B,A,B,A,E,E,A,C,C,A,B,A,A,A,A,A,B,A,C,A
1003,C,E,C,C,D,E,C,D,D,D,B,E,C,C,D,B,D,D,D,B,A,2,2,C,E,B,D,B,D,E,D,C,E,C,B,E,C,E,C,D,B,2,2,2,2,2,C,C,B,E,E,D,E,E,B,D,C,C,C,E,D,B,D,A,B,E,2,2,E,B,E,B,B,C,D,B,C,E,D,D,D,C,C,A,A,B,D,2,2,2,2,2
1004,C,E,D,B,E,B,E,D,B,E,C,B,B,C,D,B,C,B,C,B,D,A,D,A,A,B,A,D,E,E,E,C,E,E,B,D,D,A,D,C,D,B,B,A,B,A,C,C,C,B,A,B,D,E,A,A,A,C,B,E,D,E,B,D,A,B,D,D,E,C,E,B,B,E,C,B,C,A,D,E,B,A,E,C,D,E,A,A,B,E,B,E
1005,C,A,D,D,E,D,E,C,E,A,E,B,B,D,D,B,E,D,C,D,C,A,E,B,E,B,A,E,E,E,B,D,C,A,B,E,E,C,B,A,B,D,A,C,B,C,B,D,E,B,A,D,C,B,B,A,B,B,D,B,D,E,C,D,A,D,A,A,E,C,E,A,B,A,B,C,B,E,B,E,C,A,B,B,B,C,D,B,E,A,C,D
1006,C,E,C,B,D,D,E,B,C,D,D,A,A,C,D,B,E,D,D,D,A,A,D,C,E,B,A,D,E,C,D,A,E,E,A,A,D,C,B,D,B,B,A,D,C,D,C,A,D,E,A,D,C,E,E,A,B,B,D,E,B,B,C,A,B,A,D,D,E,C,E,C,B,A,B,D,B,E,D,E,C,A,E,C,C,A,B,A,B,B,B,D
1007,C,E,D,A,E,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,E,B,A,D,E,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,A,D,E,D,2,2,E,D,A,B,B,B,B,B,B,B,B,B,B,B,B,E,C,E,B,B,A,D,D,D,D,D,D,D,C,B,D,D,D,D,D,D,D,D,D
1008,A,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,C,E,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
1009,E,C,D,D,C,D,A,D,C,A,D,A,C,A,C,C,C,B,B,D,A,C,C,A,D,B,A,E,B,A,E,D,A,C,B,D,E,E,A,D,C,C,D,E,B,A,C,D,D,B,A,A,C,A,B,E,A,A,D,A,A,D,D,B,A,C,A,D,A,B,C,E,C,A,A,B,D,D,E,C,B,A,B,C,A,A,B,A,E,E,C,A
1010,D,D,C,A,E,D,D,D,B,D,D,B,B,A,D,A,E,D,A,B,D,A,D,C,E,B,A,D,E,E,D,A,E,A,A,D,B,E,B,B,C,A,A,D,A,E,A,C,E,E,D,B,D,E,B,A,B,E,A,B,E,D,A,A,D,B,D,E,D,C,E,B,B,B,B,D,B,E,B,C,C,A,B,C,A,D,E,A,B,A,B,A
