pt,interval,a,b,c,d,e,o
1,0,0.621533,1.661,71.59127,0.005514,2.129782,23.9909
2,5,1.498664,3.642105,59.99116,0.02814,4.243565,30.59636
3,10,3.254776,7.24499,45.43191,0.130197,7.716704,36.22142
4,15,6.062582,12.38272,30.44567,0.517412,12.27047,38.32114
5,20,9.334216,17.25669,19.89988,1.675302,16.51646,35.31745
6,25,11.93325,19.05378,17.28575,4.267085,18.8031,28.65704
7,30,13.42357,16.94669,20.90657,8.401587,18.80343,21.51815
8,35,14.3708,13.67606,25.34786,12.79116,17.94635,15.86777
9,40,14.94576,12.57957,26.92415,15.59774,18.33084,11.62194
10,45,14.40463,13.90348,26.20889,16.37577,21.09322,8.014006
11,50,12.31125,15.85181,25.0641,15.85866,26.04969,4.864487
12,55,9.22253,17.21268,23.9831,14.39804,32.72239,2.461265
13,60,6.302892,17.48961,22.37357,11.92392,40.92457,0.985442
14,65,4.454114,16.02102,19.83005,9.215997,50.18256,0.296252
15,70,3.487606,12.54324,16.7229,8.010226,59.17177,0.064258
16,75,2.611063,8.236593,13.64184,8.861071,66.63944,0.009994
17,80,1.623113,4.684785,10.82875,10.13314,72.72905,0.001157
18,85,0.818668,2.409514,8.305366,10.09875,78.3676,0.000106
19,90,0.343625,1.141469,6.090313,8.521417,83.90317,7.98E-06
20,95,0.123928,0.498646,4.23865,6.202801,88.93597,5.19E-07
21,100,0.039634,0.201472,2.798665,4.00758,92.95265,3.01E-08
